"id","consent_sim","group_sim","focus_1_sim","focus_2_sim","focus_3_sim","graphi_1_sim","graphi_2_sim","graphi_3_sim","inte_1_sim","inte_2_sim","inte_3_sim","inte_4_sim","inte_5_sim","soci_1_sim","soci_2_sim","soci_3_sim","soci_4_sim","soci_5_sim","symp_1_sim","symp_2_sim","symp_3_sim","symp_4_sim","symp_5_sim","symp_6_sim","symp_7_sim","symp_8_sim","symp_9_sim","symp_10_sim","play_1_sim","play_2_sim","play_3_sim","play_4_sim","effi_1_sim","effi_2_sim","effi_3_sim","effi_4_sim","dona_1_sim","dona_2_sim","dona_3_sim","age_sim","gender_sim","race_sim","income_sim","edu_sim"
32,1,1,5,2,6,2,6,4,4,7,7,6,7,2,7,1,1,1,6,6,7,7,7,4,4,7,7,2,4,1,1,2,2,7,6,4,4,7,7,38,3,4,10,3
33,1,1,5,2,6,6,6,1,5,4,7,6,7,4,2,2,7,1,3,7,7,4,7,7,6,7,7,7,7,7,4,7,7,7,4,7,7,7,6,45,4,1,8,3
34,1,1,5,2,6,7,3,7,7,6,6,6,4,6,7,3,4,1,7,7,7,6,7,6,7,6,7,7,6,4,7,7,7,6,4,2,7,5,6,30,3,6,10,5
35,1,1,5,2,6,7,6,2,6,7,6,6,2,7,6,2,3,2,6,3,3,6,1,6,2,5,6,7,7,6,5,7,7,3,7,7,5,7,7,34,4,4,11,7
36,1,1,5,2,6,2,6,4,5,6,4,4,7,4,6,3,7,2,3,2,5,3,7,7,6,6,6,6,7,6,7,6,6,4,7,7,7,6,6,43,3,3,8,7
37,1,1,5,2,6,3,7,7,7,5,4,7,2,7,7,3,2,1,5,6,3,4,7,7,6,7,3,6,4,4,7,7,7,4,7,7,6,4,1,46,4,1,8,2
38,1,1,5,2,6,7,6,7,7,7,6,6,1,5,5,5,6,1,1,6,6,7,7,7,5,4,7,3,5,7,7,7,5,6,5,7,2,6,6,46,3,5,4,3
39,1,1,5,2,6,7,7,4,4,5,7,6,5,2,3,5,6,3,6,7,6,6,7,4,2,4,6,5,7,3,7,5,4,7,7,7,6,7,7,36,2,6,6,3
40,1,1,5,2,6,7,2,6,4,2,3,6,6,6,6,1,7,1,4,6,6,5,6,3,3,6,7,7,2,7,5,6,5,2,6,7,7,7,6,28,2,6,10,7
41,1,1,5,2,6,7,6,4,7,7,7,7,7,4,7,2,4,1,6,7,2,4,4,2,4,5,6,7,7,4,7,7,7,5,6,3,6,6,7,44,2,4,5,7
42,1,1,5,2,6,7,4,7,7,5,7,6,1,5,7,1,6,1,6,7,7,2,7,7,3,5,3,6,6,6,6,7,7,7,5,6,6,6,1,44,2,3,3,4
43,1,1,5,2,6,7,6,5,7,7,7,7,6,6,7,2,5,2,7,6,7,4,2,5,2,7,6,7,7,1,7,6,7,6,7,7,6,7,5,42,2,5,9,5
44,1,1,5,2,6,7,5,7,6,6,4,6,6,7,1,2,7,1,5,2,4,7,1,7,7,4,7,6,6,6,6,4,4,5,2,4,7,7,5,36,2,5,2,4
45,1,1,5,2,6,7,7,6,4,6,7,7,7,6,1,2,6,2,4,5,7,7,3,6,6,1,7,6,6,7,4,7,6,5,6,4,3,7,6,54,2,5,8,3
46,1,1,5,2,6,7,2,7,7,7,7,6,4,6,7,1,7,1,7,7,7,7,2,6,6,5,4,7,7,5,7,7,7,6,7,7,4,6,6,28,1,4,9,3
47,1,1,5,2,6,7,1,7,5,7,4,6,7,7,4,4,2,6,7,4,7,7,4,4,5,6,6,7,3,5,6,7,7,6,5,7,4,6,7,39,3,3,1,7
48,1,1,5,2,6,2,4,6,7,4,7,7,7,6,5,2,1,3,5,4,7,1,6,7,7,7,5,7,7,7,7,2,1,7,3,7,3,7,7,32,3,2,3,4
49,1,1,5,2,6,7,5,3,6,7,6,7,4,7,2,1,7,2,6,4,7,7,6,7,4,6,5,2,7,4,5,7,7,2,5,7,6,7,7,47,1,6,2,5
50,1,1,5,2,6,7,6,6,7,6,6,7,7,7,2,5,4,2,7,7,7,3,5,7,7,7,6,7,4,3,6,7,7,7,7,6,2,6,7,26,2,6,9,1
51,1,1,5,2,6,7,7,5,7,7,7,7,7,7,6,2,5,2,3,4,7,7,6,1,6,6,5,7,6,3,7,7,7,7,7,7,5,7,6,28,1,1,3,3
52,1,1,5,2,6,7,5,7,7,7,4,6,6,2,6,7,7,3,7,7,7,6,3,7,5,7,6,6,7,6,6,3,7,6,7,7,5,6,7,32,3,5,2,3
53,1,1,5,2,6,7,7,3,6,5,7,7,7,6,7,2,6,1,7,5,2,6,6,7,7,7,5,7,3,5,5,6,7,5,5,3,4,6,6,39,1,3,7,2
54,1,1,5,2,6,6,6,5,7,5,7,6,4,7,5,2,7,1,2,4,5,7,7,6,7,4,6,5,6,6,7,6,6,5,6,6,6,6,6,40,3,2,4,5
55,1,1,5,2,6,6,6,6,1,7,6,7,6,7,6,2,6,1,6,7,2,6,6,7,7,6,7,7,6,3,6,6,7,7,6,7,4,7,7,69,1,3,3,3
56,1,1,5,2,6,6,6,7,7,7,6,5,6,7,1,1,2,6,6,7,7,7,6,5,7,7,5,6,7,6,7,7,7,6,6,7,1,6,7,46,1,6,2,4
57,1,1,5,2,6,7,7,7,3,7,6,7,5,7,7,2,6,2,7,7,4,7,5,6,5,6,5,4,7,4,5,6,5,7,3,6,5,7,7,36,3,2,9,3
58,1,1,5,2,6,6,4,4,7,5,6,6,5,3,6,1,4,3,6,7,7,6,7,6,6,7,6,7,7,7,6,6,5,7,6,7,7,7,6,49,2,5,9,8
59,1,1,5,2,6,4,5,7,7,7,7,7,7,6,6,6,7,2,7,3,7,7,4,6,1,4,7,7,6,3,7,7,7,5,5,7,6,6,7,33,2,4,5,5
60,1,1,5,2,6,6,7,6,7,3,5,7,7,6,6,1,7,1,2,3,5,5,4,4,6,7,3,7,6,4,3,7,7,6,6,1,7,6,7,30,2,2,11,1
61,1,1,5,2,6,6,6,7,4,7,7,3,3,1,7,4,6,1,7,4,7,6,2,3,7,6,7,6,7,7,4,5,6,7,7,5,6,7,7,44,4,3,11,1
62,1,1,5,2,6,1,4,5,4,4,5,6,5,3,7,1,4,2,5,5,4,5,7,7,5,7,6,1,4,7,7,7,7,1,6,6,7,7,6,43,2,4,7,3
63,1,1,5,2,6,7,2,6,6,6,7,6,2,7,2,4,6,1,7,1,5,7,4,6,7,7,6,7,7,6,7,6,4,6,5,7,6,4,1,37,1,3,3,2
64,1,1,5,2,6,7,7,6,7,6,6,3,2,6,6,5,7,1,5,4,6,7,7,7,5,6,6,7,7,7,6,5,1,7,7,6,2,3,1,30,4,4,1,6
65,1,1,5,2,6,6,6,2,6,6,6,6,7,7,6,2,7,1,7,7,7,2,4,7,1,6,7,6,6,6,7,7,5,7,7,6,6,7,2,35,4,1,5,1
66,1,1,5,2,6,6,1,6,7,7,4,4,6,7,6,2,7,2,7,5,7,6,3,6,6,2,7,6,5,6,4,3,4,7,7,1,7,7,3,45,4,4,3,3
67,1,1,5,2,6,5,2,6,3,3,7,4,7,6,5,7,2,3,7,7,4,6,5,7,6,6,3,6,7,6,6,5,6,1,7,7,4,7,6,35,1,4,2,3
68,1,1,5,2,6,5,7,7,6,6,5,7,7,7,2,1,4,2,3,7,6,6,7,7,7,6,2,7,2,5,3,6,7,7,4,7,2,5,5,44,2,3,4,5
69,1,1,5,2,6,7,4,7,6,6,4,7,5,6,3,1,7,4,5,3,7,3,6,6,7,7,7,7,6,7,3,7,6,2,7,2,7,6,4,41,2,2,4,2
70,1,1,5,2,6,6,3,6,7,6,6,7,5,6,7,1,6,3,6,7,7,7,6,6,4,1,7,6,6,7,4,7,6,6,6,7,6,7,5,46,1,2,2,4
71,1,1,5,2,6,6,6,6,7,6,6,6,6,7,7,3,7,4,7,7,7,6,2,6,7,2,5,6,7,7,6,7,7,6,6,5,7,6,7,32,2,4,1,2
72,1,1,5,2,6,6,7,4,7,6,6,5,7,7,6,1,2,1,6,5,6,6,7,6,7,6,7,6,7,6,6,1,6,6,7,7,7,6,7,29,2,6,7,5
73,1,1,5,2,6,6,6,2,5,7,7,4,7,7,3,4,2,1,7,6,6,7,7,7,6,6,7,7,7,7,6,7,5,5,5,6,7,6,5,29,1,4,6,4
74,1,1,5,2,6,6,4,5,6,7,5,4,3,5,6,1,4,2,6,7,7,7,1,7,7,5,7,5,7,7,7,5,3,7,6,3,6,7,7,34,1,2,8,4
75,1,1,5,2,6,6,7,7,6,7,6,6,7,6,3,2,7,1,4,6,6,4,6,7,6,2,7,5,6,6,7,3,7,6,7,4,2,5,6,32,3,5,12,6
76,1,1,5,2,6,7,3,7,6,6,6,7,7,1,6,2,6,4,5,7,6,6,7,2,6,6,7,6,4,7,7,6,7,6,6,2,6,7,6,39,3,3,3,3
77,1,1,5,2,6,6,7,6,7,7,6,6,6,7,7,1,6,3,4,2,7,1,4,7,3,6,7,2,3,6,1,5,6,7,7,7,7,3,5,40,3,4,13,3
78,1,1,5,2,6,1,6,7,2,7,6,7,5,7,6,4,7,3,6,6,5,6,7,1,6,5,6,7,7,7,4,6,4,4,5,7,3,4,7,31,1,1,10,4
79,1,1,5,2,6,6,6,5,1,6,3,6,7,7,7,2,7,2,6,6,7,7,6,6,5,6,6,5,7,5,6,7,7,7,4,4,2,6,7,30,3,1,1,7
80,1,1,5,2,6,6,7,4,2,7,4,7,6,6,3,2,5,6,5,7,7,5,6,7,7,6,4,5,3,4,1,4,7,7,7,7,7,4,5,32,2,4,5,2
81,1,1,5,2,6,7,4,6,6,6,6,5,6,6,7,2,7,2,7,4,7,6,5,5,4,6,6,6,2,7,7,3,7,6,6,4,7,7,6,55,1,5,7,3
82,1,1,5,2,6,7,2,3,6,7,6,2,7,7,3,1,6,1,6,7,4,4,5,4,7,7,7,7,6,6,5,5,1,6,6,5,7,7,7,47,3,5,2,5
83,1,1,5,2,6,6,7,6,3,7,7,7,6,6,7,3,6,2,7,5,4,4,6,6,7,7,5,6,5,7,3,6,7,6,1,7,7,7,7,38,4,4,7,7
84,1,1,5,2,6,7,5,4,6,4,1,4,3,6,3,6,7,2,6,7,7,5,6,7,3,7,5,5,1,3,6,5,7,7,7,7,6,5,4,41,1,6,9,1
85,1,1,5,2,6,7,7,6,3,6,1,6,7,5,7,1,7,4,6,7,6,6,4,7,7,7,6,7,7,7,2,1,4,6,6,4,6,7,7,37,1,2,10,5
86,1,1,5,2,6,5,7,6,4,6,1,4,7,7,5,6,5,2,7,6,6,1,4,6,2,2,3,7,7,5,7,7,7,2,7,5,3,7,7,32,3,2,5,5
87,1,1,5,2,6,7,4,4,7,4,7,2,7,5,1,2,6,1,3,7,7,4,7,7,6,6,1,5,7,6,6,4,5,7,3,7,7,5,7,45,2,1,10,4
88,1,1,5,2,6,3,6,7,7,4,6,6,7,7,7,4,7,6,7,5,7,5,6,7,4,2,2,6,6,7,2,6,6,5,7,5,7,7,6,33,1,1,5,3
89,1,1,5,2,6,5,7,5,5,7,5,6,6,6,1,1,7,2,7,7,7,7,7,3,6,7,6,4,7,5,6,6,6,7,6,7,6,7,7,34,1,3,12,5
90,1,1,5,2,6,7,7,1,5,7,2,7,3,6,6,2,7,1,7,4,2,6,7,3,7,6,6,3,5,7,1,6,7,7,7,7,7,7,6,46,1,4,7,2
91,1,1,5,2,6,7,6,2,7,7,6,3,6,4,6,1,6,1,3,7,6,7,7,5,7,6,7,4,6,6,7,7,6,7,7,7,5,4,6,48,4,2,1,6
92,1,1,5,2,6,6,5,7,6,6,4,5,3,5,6,4,7,2,3,5,5,7,7,5,4,6,7,6,2,7,3,2,7,7,6,7,6,5,7,42,3,3,7,2
93,1,1,5,2,6,6,3,5,6,6,6,3,3,7,7,6,7,2,7,3,6,6,7,7,7,7,6,7,6,6,7,7,6,6,7,7,4,6,7,50,1,3,1,4
94,1,1,5,2,6,7,6,4,7,2,5,7,7,4,6,1,7,2,6,6,5,4,7,5,4,4,6,6,7,6,7,7,4,6,2,5,7,7,4,33,3,1,4,5
95,1,1,5,2,6,3,7,6,7,1,6,4,7,7,6,2,5,5,7,7,4,7,6,6,4,6,4,7,6,7,7,6,7,7,7,7,7,6,7,41,2,5,1,5
96,1,1,5,2,6,6,7,7,7,4,6,6,6,4,6,4,7,6,6,6,6,7,7,6,6,7,7,7,7,5,5,6,6,7,6,7,3,7,5,48,3,5,9,5
97,1,1,5,2,6,5,6,6,2,6,6,7,6,7,7,6,5,1,7,7,6,1,6,6,6,1,2,5,3,5,7,4,4,6,5,6,6,4,6,24,3,6,12,5
98,1,1,5,2,6,7,4,5,6,7,6,7,7,6,7,4,7,1,1,7,7,7,5,2,6,7,5,6,6,7,1,6,4,6,7,6,6,7,5,46,1,3,11,2
99,1,1,5,2,6,3,6,6,3,7,3,7,4,4,2,2,5,1,6,6,7,7,7,5,7,7,6,3,7,6,7,4,2,3,4,6,7,6,7,49,3,7,12,6
100,1,1,5,2,6,7,6,6,7,6,7,5,7,5,5,1,6,1,7,4,7,6,5,3,6,5,6,5,7,7,4,6,1,7,7,7,6,6,3,45,4,4,8,7
101,1,1,5,2,6,3,3,7,6,5,5,7,7,6,3,2,6,1,7,6,5,6,7,6,4,3,7,2,7,7,7,5,7,6,7,6,7,5,1,34,2,6,2,6
102,1,1,5,2,6,5,7,7,7,7,7,3,7,7,6,3,6,1,7,7,7,6,6,5,7,7,7,7,7,7,7,6,4,6,5,7,7,7,6,45,2,1,9,4
103,1,1,5,2,6,6,3,7,5,7,7,7,7,7,7,3,7,1,7,7,7,7,6,6,5,7,6,6,7,6,7,6,7,6,3,6,5,7,3,42,1,6,4,3
104,1,1,5,2,6,7,3,6,6,5,6,6,2,6,3,1,7,3,4,7,6,6,7,7,6,3,7,6,6,6,7,5,6,6,5,7,7,5,6,34,2,4,2,3
105,1,1,5,2,6,6,6,7,7,6,5,6,5,7,2,2,5,5,7,6,6,7,7,5,7,5,2,5,2,7,6,7,7,6,6,4,5,7,6,33,1,3,8,6
106,1,1,5,2,6,6,6,7,6,7,6,7,6,6,5,2,7,6,6,6,6,5,6,5,1,7,7,5,6,6,7,2,6,7,2,6,5,7,7,36,3,1,10,7
107,1,1,5,2,6,7,7,6,3,2,5,4,5,7,7,3,7,2,7,7,7,7,7,4,7,1,4,1,7,7,7,6,6,6,6,6,7,6,4,43,3,2,1,4
108,1,1,5,2,6,4,4,7,6,6,7,4,5,6,7,5,4,1,3,2,6,7,4,7,7,7,7,4,7,2,7,6,4,7,7,7,7,7,7,40,1,1,3,2
109,1,1,5,2,6,6,4,7,4,4,7,6,3,7,7,6,3,4,1,5,6,5,7,1,6,5,6,3,6,2,6,3,5,7,6,7,6,7,7,60,3,4,10,1
110,1,1,5,2,6,7,4,4,7,7,6,6,6,4,3,3,6,2,7,7,6,7,7,7,5,4,7,4,6,4,6,6,7,2,7,7,1,5,2,31,4,6,2,2
111,1,1,5,2,6,6,6,6,6,7,6,6,1,7,7,1,7,1,6,7,6,6,7,7,3,6,6,6,7,2,7,6,1,5,2,3,5,7,6,35,1,3,5,2
112,1,1,5,2,6,7,5,6,7,6,7,7,7,5,7,2,7,1,6,7,4,6,6,6,7,4,6,6,6,6,5,5,7,7,6,7,6,7,6,48,1,7,13,6
113,1,1,5,2,6,7,7,1,5,6,2,7,7,6,7,1,7,2,6,7,7,7,6,7,6,7,7,3,3,3,4,7,3,7,6,7,6,6,5,37,2,4,4,7
114,1,1,5,2,6,4,7,6,6,6,6,7,7,7,6,1,3,1,6,2,4,7,6,7,7,5,5,6,4,7,6,7,1,5,7,6,7,6,7,43,3,7,7,7
115,1,1,5,2,6,7,5,7,7,7,6,6,4,7,5,2,6,1,6,7,7,6,7,6,7,6,7,7,6,6,7,7,6,7,5,2,7,6,7,44,4,2,8,2
116,1,1,5,2,6,2,6,7,7,5,6,6,4,7,7,1,3,2,7,7,2,7,7,6,4,6,6,6,6,3,7,7,2,1,6,4,2,6,7,44,2,5,9,1
117,1,1,5,2,6,6,7,6,6,5,7,7,6,5,6,2,2,1,7,5,7,7,7,6,5,6,6,5,7,4,5,6,7,7,7,6,6,6,4,49,2,5,8,7
118,1,1,5,2,6,3,6,6,5,7,2,5,6,7,7,2,6,1,3,2,6,7,6,6,7,2,6,6,6,1,6,7,6,7,3,3,3,6,7,40,1,6,4,1
119,1,1,5,2,6,3,6,7,6,7,7,7,7,5,4,2,7,4,7,6,4,7,7,7,5,4,6,6,5,7,7,4,6,7,7,6,7,7,7,44,2,2,9,4
120,1,1,5,2,6,5,7,7,6,5,7,6,7,5,6,2,7,1,3,6,2,6,7,7,7,6,7,7,6,3,7,7,7,6,3,6,7,7,2,45,2,4,1,5
121,1,1,5,2,6,7,6,4,7,6,7,7,4,6,7,1,7,7,6,7,7,7,6,7,6,4,4,7,6,5,7,6,5,1,4,7,6,6,6,30,4,5,10,2
122,1,1,5,2,6,6,6,7,5,1,6,2,7,5,6,1,7,1,6,6,7,6,7,6,7,7,6,6,6,6,7,6,4,6,5,6,5,7,7,48,1,5,10,5
123,1,1,5,2,6,7,5,6,6,3,7,7,6,3,7,6,7,2,6,7,6,3,4,4,6,6,7,7,6,1,7,5,6,2,2,7,2,3,6,37,3,6,4,3
124,1,1,5,2,6,5,7,6,4,6,4,7,5,7,7,1,7,1,7,6,6,7,6,4,6,6,3,7,6,6,4,1,6,6,6,7,6,7,7,35,1,7,8,4
125,1,1,5,2,6,7,6,7,7,7,4,6,6,6,4,1,3,3,7,7,6,2,6,7,7,7,7,5,7,6,1,6,4,7,5,5,4,7,7,45,4,1,3,5
126,1,1,5,2,6,5,6,7,7,7,6,6,6,7,7,1,7,4,1,6,6,7,7,7,7,7,7,6,5,5,2,3,4,7,6,6,6,7,7,40,2,5,4,6
127,1,1,5,2,6,7,7,7,6,4,2,7,7,6,4,2,6,2,6,4,6,6,6,6,5,7,7,6,3,7,6,7,3,7,6,3,7,7,1,36,3,5,11,2
128,1,1,5,2,6,6,5,6,7,4,7,7,6,2,3,2,6,6,6,7,5,6,2,6,6,7,6,7,7,7,6,3,7,6,7,6,7,7,6,47,2,3,3,7
129,1,1,5,2,6,6,5,7,6,7,6,7,7,7,4,1,4,2,6,6,6,7,6,1,6,6,7,5,6,7,6,7,4,7,7,7,2,2,6,53,2,1,9,5
130,1,1,5,2,6,6,7,7,7,6,5,3,6,7,7,1,7,1,7,7,7,7,7,6,7,7,6,7,3,4,7,6,6,7,6,4,6,5,7,56,2,5,6,1
131,1,1,5,2,6,7,7,5,7,6,5,3,5,7,3,1,2,1,7,7,6,7,6,6,6,7,7,7,4,1,5,3,4,6,7,5,6,5,1,32,2,4,9,4
132,1,1,5,2,6,7,2,5,7,6,6,3,7,1,6,1,2,7,6,7,3,1,1,4,6,6,7,5,7,1,6,7,7,7,7,7,7,7,7,39,3,2,2,2
133,1,1,5,2,6,6,6,5,6,3,6,6,6,4,6,1,7,3,3,7,7,7,6,4,6,6,6,7,2,6,6,7,7,6,7,1,7,6,2,52,2,1,4,6
134,1,1,5,2,6,7,7,6,7,6,5,6,6,6,5,1,6,2,7,7,4,6,6,3,5,7,7,6,7,7,4,2,7,6,7,5,5,7,7,48,3,5,10,6
135,1,1,5,2,6,7,7,6,6,6,5,7,6,7,1,2,4,1,7,6,7,7,7,2,7,7,7,3,6,7,1,6,6,6,7,4,7,6,1,43,2,4,1,3
136,1,1,5,2,6,7,6,5,4,7,6,3,5,5,6,2,7,1,6,4,6,7,4,7,6,7,7,4,7,1,4,7,5,6,5,6,7,1,7,43,2,3,3,2
137,1,1,5,2,6,5,7,3,4,6,2,4,7,2,7,1,5,2,4,7,6,7,5,5,4,7,6,6,7,7,2,6,7,7,6,7,7,7,7,41,1,4,6,7
138,1,1,5,2,6,6,7,4,7,7,7,6,4,6,4,6,2,1,7,7,7,4,6,6,2,5,7,6,6,6,7,7,5,6,4,7,1,3,7,34,2,1,5,5
139,1,1,5,2,6,7,7,7,5,6,1,6,7,6,7,2,5,2,7,5,7,6,7,4,6,7,6,6,7,6,7,7,7,4,5,6,5,6,6,35,2,7,12,4
140,1,1,5,2,6,1,6,4,7,7,5,6,4,5,5,1,6,1,7,7,2,7,5,7,7,7,6,7,7,7,7,7,7,1,7,7,4,7,6,49,2,4,5,3
141,1,1,5,2,6,7,7,3,6,6,6,7,2,4,6,1,3,1,6,6,6,3,4,3,7,6,7,6,7,4,6,5,1,7,6,3,7,7,6,37,1,3,6,6
142,1,1,5,2,6,6,6,7,7,6,7,6,6,6,5,2,2,3,7,6,7,7,5,6,7,7,5,7,7,7,7,5,7,7,6,5,6,7,7,38,3,3,10,5
143,1,1,5,2,6,1,7,6,7,4,6,3,7,6,7,6,5,2,7,2,6,7,3,7,1,5,7,6,6,6,6,7,6,6,4,5,6,6,6,34,2,4,2,7
144,1,1,5,2,6,6,2,6,7,5,4,5,6,7,6,2,7,1,7,7,6,3,7,7,7,6,4,4,7,5,2,7,6,6,7,7,6,6,4,52,2,6,12,4
145,1,1,5,2,6,2,6,7,7,7,7,5,7,7,6,1,4,1,5,7,7,5,3,7,4,4,3,3,7,7,6,7,5,1,7,7,7,5,7,52,2,2,8,2
146,1,1,5,2,6,1,7,4,7,7,5,6,6,7,7,2,3,1,6,4,6,2,6,7,7,6,6,7,7,7,6,7,7,6,7,7,7,1,7,34,1,4,9,2
147,1,1,5,2,6,6,6,7,6,5,4,3,5,6,5,1,2,1,7,7,5,7,6,7,7,6,6,6,7,4,6,6,5,7,6,2,4,7,7,39,2,5,9,4
148,1,1,5,2,6,2,7,7,2,6,2,1,6,5,5,2,7,4,7,7,5,7,7,6,6,7,5,6,6,7,3,5,6,7,6,7,3,4,6,51,3,5,12,6
